Site Ref,Site Name,Description,Customer,Postcode,Town,Latitude,Longitude
GB-LCL-A0354,[,Alfen 22kW,Believ (EV),E11 1NH,Waltham Forest,51.572829,0.011289
ACE0493314,[ACE0493314] Gosport: No. 2 Battery West Car Park - Fast CPs / ACE0493314 / PO12 2QX,Alfen 22kW,Believ (EV),PO12 2QX,Gosport,50.78646,-1.16816
Demo,[Demo] ,,Believ (EV),,,,
FA-00005067,[FA-00005067] No. 2 Battery West Car Park - Fast CPs,Alfen 22kW,Believ (EV),PO12 2QX,Gosport,50.78646,-1.16816
FA-00005075,[FA-00005075] Ipswich: Ashley Street / 24290361 / IP2 8DT,,Believ (EV),IP2 8DT,Ipswich,52.04849311,1.15371636
FA-00005090,[FA-00005090] Ealing: 1 Drayton Road / 24290394 / W13 0LD,,Believ (EV),W13 0LD,Ealing,51.51600218,-0.32272162
FA-00010947,[FA-00010947] Forest Gate: 27 Lawrence Road / 24450330 / GB-LCL-A2903 / E13 0QD,,Believ (EV),E13 0QD,Forest Gate,51.53620737,0.02803805
GB-LCL-2845,[GB-LCL-2845] Newham: 38 Chadd Grn / 24480190 / E13 0NJ,Etrel 22kW,Believ (EV),E13 0NJ,Newham,51.533788,0.020626
GB-LCL-A0004,[GB-LCL-A0004] Croydon: 3-9 Fox Hill / ACE0136578 / SE19 2UJ,Alfen 7kW,Believ (EV),SE19 2UJ,Croydon,51.415594,-0.080613
GB-LCL-A0005,[GB-LCL-A0005] 3-9 Fox Hill,Alfen 7kW,Believ (EV),SE19 2UJ,Croydon,51.415594,-0.080613
GB-LCL-A0006,[GB-LCL-A0006] Croydon: 83 Howberry Road / ACE0136606 / CR7 8HZ,Alfen 7kW,Believ (EV),CR7 8HZ,Croydon,51.409737,-0.095576
GB-LCL-A0007,[GB-LCL-A0007] Croydon: 83 Howberry Road / ACE0136571 / CR7 8HZ,Alfen 7kW,Believ (EV),CR7 8HZ,Croydon,51.409737,-0.095576
GB-LCL-A0008,[GB-LCL-A0008] Croydon: 112 Kilmartin Road / ACE0136607 / SW16 4RE,Alfen 7kW,Believ (EV),SW16 4RE,Croydon,51.404618,-0.11238569
GB-LCL-A0012,[GB-LCL-A0012] Croydon: 144 Northborough Road / ACE0136584 / SW16 4AZ,Alfen 7kW,Believ (EV),SW16 4AZ,Croydon,51.40636,-0.126341
GB-LCL-A0013,[GB-LCL-A0013] Croydon: 144 Northborough Road / ACE0136620 / SW16 4AZ,Alfen 7kW,Believ (EV),SW16 4AZ,Croydon,51.40636,-0.126341
GB-LCL-A0017,[GB-LCL-A0017] Croydon: Blakemore Road / ACE0136605 / CR7 6DD,Alfen 7kW,Believ (EV),CR7 6DD,Croydon,51.394858,-0.120093
GB-LCL-A0018,[GB-LCL-A0018] Croydon: 117-157 Ecclesbourne Road / ACE0136586 / CR7 7BR,Alfen 7kW,Believ (EV),CR7 7BR,Croydon,51.3936389,-0.10368397
GB-LCL-A0019,[GB-LCL-A0019] Croydon: 117-157 Ecclesbourne Road / ACE0136617 / CR7 7BR,Alfen 7kW,Believ (EV),CR7 7BR,Croydon,51.3936389,-0.10368397
GB-LCL-A0020,[GB-LCL-A0020] Croydon: Upper Grove / ACE0136585 / SE25 6JU,Alfen 7kW,Believ (EV),SE25 6JU,Croydon,51.396955,-0.081455
GB-LCL-A0021,[GB-LCL-A0021] Croydon: Upper Grove / ACE0136608 / SE25 6JU,Alfen 7kW,Believ (EV),SE25 6JU,Croydon,51.396955,-0.081455
GB-LCL-A0022,[GB-LCL-A0022] Croydon: 21 Cobden Road / ACE0136591 / SE25 5NY,Alfen 7kW,Believ (EV),SE25 5NY,Croydon,51.39168,-0.066843
GB-LCL-A0023,[GB-LCL-A0023] 129 Beckford Road,Alfen 7kW,Believ (EV),CR0 6HZ,Croydon,51.388869,-0.07679963
GB-LCL-A0026,[GB-LCL-A0026] Croydon: 137 Sundridge Road / ACE0136592 / CR0 6LZ,Alfen 7kW,Believ (EV),CR0 6LZ,Croydon,51.382083,-0.0769979
GB-LCL-A0028,[GB-LCL-A0028] Croydon: 1 Outram Road / ACE0136597 / CR0 6SP,Alfen 7kW,Believ (EV),CR0 6SP,Croydon,51.37532,-0.0764192
GB-LCL-A0029,[GB-LCL-A0029] Croydon: 1 Outram Road / ACE0136611 / CR0 6SP,Alfen 7kW,Believ (EV),CR0 6SP,Croydon,51.37532,-0.0764192
GB-LCL-A0030,[GB-LCL-A0030] Croydon: 18-2 Lower Road / ACE0136614 / CR8 2DT,Alfen 7kW,Believ (EV),CR8 2DT,Croydon,51.329781,-0.10849873
GB-LCL-A0032,[GB-LCL-A0032] Frimley Close,Alfen 7kW,Believ (EV),CR0 0QZ,Croydon,51.350631,-0.015104
GB-LCL-A0033,[GB-LCL-A0033] Croydon: Frimley Close / ACE0136580 / CR0 0QZ,Alfen 7kW,Believ (EV),CR0 0QZ,Croydon,51.350631,-0.015104
GB-LCL-A0034,[GB-LCL-A0034] Croydon: 74 Bramble Close / ACE0136574 / CR0 8JL,Alfen 7kW,Believ (EV),CR0 8JL,Croydon,51.365416,-0.027056
GB-LCL-A0035,[GB-LCL-A0035] Croydon: 74 Bramble Close / ACE0136621 / CR0 8JL,Alfen 7kW,Believ (EV),CR0 8JL,Croydon,51.365416,-0.027056
GB-LCL-A0036,[GB-LCL-A0036] Croydon: 2 Marlborough Road / ACE0136570 / CR2 6JD,Alfen 7kW,Believ (EV),CR2 6JD,Croydon,51.35412,-0.101506
GB-LCL-A0037,[GB-LCL-A0037] Croydon: 2 Marlborough Road / ACE0136609,Alfen 7kW,Believ (EV),CR2 6JD,Croydon,51.35412,-0.101506
GB-LCL-A0040,[GB-LCL-A0040] Croydon: 1 Kemble Road / ACE0136587 / CR0 4JQ,Alfen 7kW,Believ (EV),CR0 4JQ,Croydon,51.371894,-0.11241008
GB-LCL-A0041,[GB-LCL-A0041] Croydon: 1 Kemble Road / ACE0136612 / CR0 4JQ,Alfen 7kW,Believ (EV),CR0 4JQ,Croydon,51.371894,-0.11241008
GB-LCL-A0048,[GB-LCL-A0048] Croydon: 34-24 Elmgrove Road / ACE0136596 / CR0 7EP,Alfen 7kW,Believ (EV),CR0 7EP,Croydon,51.38225,-0.063906
